headquarter,division,department,section,site
部生産・技術本部,,,,
生産技術本部,,,,
生産・技術本部,エンジニアセンター,,,
生産・技術本部,エンジニアリングセンター,技術部,,岩国大竹工場
生産・技術本部,エンジニアリングセンター,技術部,,市原工場
生産・技術本部,エンジニアリングセンター,技術部,,大阪工場
生産・技術本部,エンジニアリングセンター,技術部,,大牟田工場
生産・技術本部,エンジニアリングセンター,技術部,,名古屋工場
生産・技術本部,袖ケ浦センター,研究開発企画管理部,,
生産・技術本部,袖ケ浦センター,生産・技術企画部,,
生産・技術本部,袖ケ浦センター,,生産技術高度化推進室,
生産・技術本部,,エンジニアリング部,,
生産・技術本部,,安全・環境技術部,,
生産・技術本部,,海外技術部,,
研究開発本部,ICTソリューション研究センター,,,
研究開発本部,モビリティーディベロップメントセンター,,,
研究開発本部,未来技術創生センター,,,
研究開発本部,,フィルム・シート部,,機能材料研究所
研究開発本部,,フィルム・シート部,,名古屋工場
研究開発本部,,研究開発企画管理部,,
研究開発本部,,接合部,,高分子・複合材料研究所
研究開発本部,,,,フォーミュレーション研究所
研究開発本部,,,,高分子材料研究所
研究開発本部,,,,合成化学品研究所
研究開発本部,,,,新事業開発研究所
研究開発本部,,,,生産技術研究所
研究開発本部,,,,大牟田工場
技術本部,,安全・環境技術部,,
機能材料事業本部,開発センター,素材開発部,,
機能材料事業本部,開発センター,複合技術開発部,,
基盤素材事業本部,ポリウレタン事業部,,,
基盤素材事業本部,ライセンス事業部,,,
基礎原料事業本部,合繊原料事業部,,,
ライフ&ヘルスケアソリューション事業本部,,企画管理部,,
ライフ&ヘルスケアソリューション事業本部,,,医療事業推進室,
ライフ&ヘルスケアSL事業本部,オーラルケア事業部,,,
ライフ&ヘルスケアSL事業本部,ビジョンケア材料事業部,,,
モビリティー事業本部,機能性コンパウンド事業部,,,
モビリティー事業本部,機能性ポリマー事業部,,,
モビリティー事業本部,,,コンパウンド管理室,
モビリティーソリューション事業本部,PPコンパウンド事業部,,,
モビリティーソリューション事業本部,,企画管理部,コーポレート・ディベロップメント室,
モビリティーソリューション事業本部,,,モビリティーソリューション推進室,
モビリティーソリューション事業本部,,,新事業開発室,
モビリティーソリューション事業本部,,,複合材料事業推進室,
モビリティーSL事業本部,エラストマー事業部,,,市原工場
モビリティーSL事業本部,,,モビリティーSL推進室,
ヘルスケア事業本部,パーソナルケア材料事業部,,,
ヘルスケア事業本部,不織布事業部,,産材開発室,
ベーシック&グリーンマテリアルズ事業本部,PET事業部,,,
ベーシック&グリーンマテリアルズ事業本部,PTA・PET事業部,,,
ベーシック&グリーンマテリアルズ事業本部,インダストリアルケミカルズ事業部,,,
ベーシック&グリーンマテリアルズ事業本部,インダストリアルケミカル事業部,,,
ベーシック&グリーンマテリアルズ事業本部,サステイナブル・フィードストックス事業部,,,
ベーシック&グリーンマテリアルズ事業本部,フェノール事業部,,,
ベーシック&グリーンマテリアルズ事業本部,,総務部,,岩国大竹工場
ベーシック&グリーンマテリアルズ事業本部,,総務部,,市原工場
ベーシック&グリーンマテリアルズ事業本部,,総務部,,大阪工場
ベーシック&グリーンマテリアルズ事業本部,,総務部,,大牟田工場
ベーシック&グリーンマテリアルズ事業本部,,,グリーンケミカル事業推進室,
フード&パッケージング事業本部,コーティング・機能材事業部,,,
デジタルトランスフォーメーション推進本部,情報システム統括部,,,市原工場
デジタルトランスフォーメーション推進本部,情報システム統括部,,,大阪工場
デジタルトランスフォーメーション推進本部,情報システム統括部,,,大牟田工場
デジタルトランスフォーメーション推進本部,,デジタルトランスフォーメーション企画管理部,,
デジタルトランスフォーメーション推進本部,,購買部,,市原工場
デジタルトランスフォーメーション推進本部,,購買部,,大阪工場
デジタルトランスフォーメーション推進本部,,購買部,,大牟田工場
デジタルトランスフォーメーション推進本部,,製造部,機能製品課,茂原分工場
デジタルトランスフォーメーション推進本部,,物流部,,大阪工場
デジタルトランスフォーメーション推進本部,,,業務改革推進室,
デジタル・トランスフォーメーション推進本部,,デジタルトランスフォーメーション企画管理部,,
デジタル・トランスフォーメーション推進本部,,物流部,,
ウレタン事業本部,,ウレタン開発部,,
ICTソリューション事業本部,機能材事業部,,,
ICTソリューション事業本部,光学材料事業部,,,
ICTソリューション事業本部,,企画管理部,,
ICTソリューション事業本部,,,ICT材料事業推進室,
ICT・SL事業本部,半導体・光学材料事業部,,,
ICT・SL事業本部,,,ICT材料事業推進室,
DX推進本部,,DX企画管理部,,
CTソリューション事業本部,,,ICT材料事業推進室,
,プライムポリマー包材事業部,,,
,化学品安全センター,RC・品質保証部,,
,加工品事業支援センター,,,
,基礎化学品事業グループ,,,市原工場
,基礎化学品事業部,,,市原工場
,三井化学分析センター,,,
,自動車材事業部,,,
,情報調査センター,知的財産部,,
,新事業開発センター,CVC部,,
,新事業開発センター,,データソリューション室,
,新事業開発センター,,マーケティング&イノベーション推進室,
,新事業開発センター,,ロボットソリューション室,
,新事業開発センター,,次世代材料開発室,
,茂原センター,製造部,PAM課,茂原分工場
,茂原センター,製造部,ポリオール課,名古屋工場
,茂原センター,製造部,化学品・用役課,
,茂原センター,製造部,化成品・用役課,茂原分工場
,茂原研究・開発センター,研究開発企画管理部,茂原業務室,
,,ウレタン製造部,イソシアネート課,大牟田工場
,,ウレタン製造部,環境課,大牟田工場
,,ウレタン製造部,用役課,大牟田工場
,,グローバル人材部,,
,,コーポレートコミュニケーション部,,
,,サンメディカル製品開発部,,
,,システム部,,
,,ファイン製造部,ヘルスケア課,大牟田工場
,,ファイン製造部,精密薬品課,大牟田工場
,,ファイン製造部,農医薬課,大牟田工場
,,安全・環境部,,岩国大竹工場
,,安全・環境部,,市原工場
,,安全・環境部,,大阪工場
,,安全・環境部,,大牟田工場
,,安全・環境部,,名古屋工場
,,管理・技術部,,名古屋工場
,,管理部,,岩国大竹工場
,,管理部,,市原工場
,,管理部,,大阪工場
,,管理部,,大牟田工場
,,管理部,,名古屋工場
,,管理部,,茂原分工場
,,関係会社支援部,,
,,基礎化学品部,,大阪支店
,,基礎化学品部,,名古屋支店
,,機能材料部,,大阪支店
,,機能樹脂部,,大阪支店
,,機能樹脂部,,名古屋支店
,,経営企画部,コーポレート・ディベロップメント室,
,,経理部,,
,,研究開発部,,フォーミュレーション研究所
,,研究開発部,,マテリアルサイエンス研究所
,,研究開発部,,機能樹脂研究所
,,研究開発部,,触媒科学研究所
,,工務部,技術開発室,茂原工場
,,製造・技術部,,
,,製造1部,EO課,大阪工場
,,製造1部,PTA・PET課,岩国大竹工場
,,製造1部,PTA課,岩国大竹工場
,,製造1部,タンクヤード・環境課,市原工場
,,製造1部,フェノール課,市原工場
,,製造1部,フェノール課,大阪工場
,,製造1部,環境課,岩国大竹工場
,,製造1部,機能性ポリマー課,岩国大竹工場
,,製造1部,機能製品課,岩国大竹工場
,,製造1部,工業薬品課,岩国大竹工場
,,製造1部,石化原料課,市原工場
,,製造1部,用役課,岩国大竹工場
,,製造1部,用役課,市原工場
,,製造1部,用役課,大阪工場
,,製造2部,エラストマー1課,市原工場
,,製造2部,ペリクル課,岩国大竹工場
,,製造2部,化学品課,大阪工場
,,製造2部,大竹製造課,岩国大竹工場
,,製造2部,,名古屋工場
,,総務・法務部,秘書室,
,,,ESG推進室,
,,,健康管理室,岩国大竹工場
,,,健康管理室,大牟田工場
,,,自動車材料マーケティング室,名古屋支店
,,,新HC事業開発室,
,,,統制室,
,,,,三井化学オペレーションサービス市原事業所
,,,,三井化学オペレーションサービス大牟田事業所
,,,,徳山分工場
